iter	Logloss
0	0.6051391922
1	0.5631141633
2	0.541224387
3	0.5262246506
4	0.5163658041
5	0.5091873768
6	0.50331892
7	0.4977573552
8	0.4945093702
9	0.4906853985
10	0.4881881708
11	0.4848195916
12	0.4819202794
13	0.4803621815
14	0.4778367541
15	0.4762756804
16	0.4747912
17	0.473712601
18	0.469876628
19	0.4685303422
20	0.4674438826
21	0.4660872583
22	0.4641082455
23	0.4625352387
24	0.4609861426
25	0.459015352
26	0.4583586402
27	0.4563158683
28	0.4540540937
29	0.4522088176
30	0.4508408885
31	0.4494500208
32	0.4479189401
33	0.4458874315
34	0.4436922229
35	0.4418501005
36	0.4398493022
37	0.4387071042
38	0.4367769326
39	0.4348372494
40	0.433623328
41	0.4316733923
42	0.4299361252
43	0.4279574118
44	0.4265217548
45	0.4263002563
46	0.4246470904
47	0.4229887404
48	0.4208743459
49	0.419432583
50	0.4179085418
51	0.4157848847
52	0.4143816956
53	0.4127634696
54	0.4115718613
55	0.4101412876
56	0.4090541878
57	0.4074744141
58	0.4061328915
59	0.4049853552
60	0.4048092241
61	0.4031797645
62	0.4018571671
63	0.4009935517
64	0.3994069903
65	0.3985386058
66	0.3976880854
67	0.3958410813
68	0.3945657334
69	0.3933169818
