iter	Passed	Remaining
0	1	123
1	3	118
2	5	117
3	7	116
4	8	115
5	10	112
6	12	109
7	14	110
8	15	107
9	17	105
10	19	105
11	21	103
12	23	101
13	24	99
14	26	98
15	28	96
16	30	94
17	31	91
18	33	89
19	35	87
20	36	86
21	38	84
22	40	82
23	42	80
24	43	78
25	45	77
26	47	75
27	48	73
28	50	71
29	52	69
30	53	67
31	55	66
32	58	65
33	61	65
34	63	63
35	66	62
36	68	60
37	70	59
38	71	57
39	73	55
40	75	53
41	77	51
42	78	49
43	80	47
44	82	45
45	83	43
46	85	41
47	87	40
48	89	38
49	90	36
50	92	34
51	94	32
52	95	30
53	97	28
54	99	27
55	101	25
56	102	23
57	104	21
58	106	19
59	107	17
60	109	16
61	111	14
62	112	12
63	114	10
64	116	8
65	117	7
66	119	5
67	121	3
68	123	1
69	124	0
